1,八拜之交,指結拜為異姓兄弟姊妹的朋友,ㄅㄚ　ㄅㄞˋ　ㄓ　ㄐㄧㄠ,
2,拔刀相助,出面替人打抱不平,ㄅㄚˊ　ㄉㄠ　ㄒㄧㄤ　ㄓㄨˋ,
3,博學多聞,學問廣博，見識豐富,ㄅㄛˊ　ㄒㄩㄝˊ　ㄉㄨㄛ　ㄨㄣˊ,
4,百花齊放,各種花朵一起開放，繁華茂盛,ㄅㄞˇ　ㄏㄨㄚ　ㄑㄧˊ　ㄈㄤˋ,
5,百戰百勝,形容善於作戰，所向無敵,ㄅㄞˇ　ㄓㄢˋ　ㄅㄞˇ　ㄕㄥˋ,
6,班門弄斧,在行家面前賣弄本事，不自量力,ㄅㄢ　ㄇㄣˊ　ㄋㄨㄥˋ　ㄈㄨˇ,
7,半信半疑,表示又有點相信，又有點疑惑,ㄅㄢˋ　ㄒㄧㄣˋ　ㄅㄢˋ　ㄧˊ,
8,笨鳥先飛,能力差的人，往往比別人先動手,ㄅㄣˋ　ㄋㄧㄠˇ　ㄒㄧㄢ　ㄈㄟ,
9,賓至如歸,主人招待周到親切，客人感到滿意,ㄅㄧㄣ　ㄓˋ　ㄖㄨˊ　ㄍㄨㄟ,
10,不毛之地,指堅硬瘠薄、不適種植五穀的土地,ㄅㄨˋ　ㄇㄠˊ　ㄓ　ㄉㄧˋ,
11,不得要領,指無法掌握要點或主旨,ㄅㄨˋ　ㄉㄜˊ　ㄧㄠˋ　ㄌㄧㄥˇ,
12,不同凡響,比喻特出、不平凡的人或事物,ㄅㄨˋ　ㄊㄨㄥˊ　ㄈㄢˊ　ㄒㄧㄤˇ,
13,不苟言笑,指不隨便談笑，態度嚴肅,ㄅㄨˋ　ㄍㄡˇ　ㄧㄢˊ　ㄒㄧㄠˋ,
14,不可思議,出乎常情，令人無法想像難理解,ㄅㄨˋ　ㄎㄜˇ　ㄙ　ㄧˋ,
15,不屈不撓,指意志堅毅，不肯屈服,ㄅㄨˋ　ㄑㄩ　ㄅㄨˋ　ㄋㄠˊ,
16,不二法門,比喻唯一的方法或途徑,ㄅㄨˊ　ㄦˋ　ㄈㄚˇ　ㄇㄣˊ,
17,匹夫之勇,指個人逞血氣之勇，人有勇無謀,ㄆㄧˇ　ㄈㄨ　ㄓ　ㄩㄥˇ,
18,披星戴月,早出晚歸、連夜趕路或工作極勞累,ㄆㄧ　ㄒㄧㄥ　ㄉㄞˋ　ㄩㄝˋ,
19,平分秋色,形容二者一樣出色，分不出高下,ㄆㄧㄥˊ　ㄈㄣ　ㄑㄧㄡ　ㄙㄜˋ,
20,平易近人,形容態度和藹親切，容易接近,ㄆㄧㄥˊ　ㄧˋ　ㄐㄧㄣˋ　ㄖㄣˊ,
21,萍水相逢,兩個人不相識，機緣巧合偶然相逢,ㄆㄧㄥˊ　ㄕㄨㄟˇ　ㄒㄧㄤ　ㄈㄥˊ,
22,滿面春風,滿臉笑容，心情喜悅、得意的情狀,ㄇㄢˇ　ㄇㄧㄢˋ　ㄔㄨㄣ　ㄈㄥ,
23,漫山遍野,形容數目眾多，到處都是,ㄇㄢˋ　ㄕㄢ　ㄅㄧㄢˋ　ㄧㄝˇ,
24,門庭若市,比喻上門來的人很多,ㄇㄣˊ　ㄊㄧㄥˊ　ㄖㄨㄛˋ　ㄕˋ,
25,門可羅雀,指一般來客稀少、門庭冷清的景況,ㄇㄣˊ　ㄎㄜˇ　ㄌㄨㄛˊ　ㄑㄩㄝˋ,
26,知己知彼,正確澈底地了解自己及對手的實力,ㄓ　ㄐㄧˇ　ㄓ　ㄅㄧˇ,
27,盲人摸象,比喻以偏概全，不能了解真相,ㄇㄤˊ　ㄖㄣˊ　ㄇㄛ　ㄒㄧㄤˋ,
28,目不暇給,眼前美好事物太多、景物變化太快,ㄇㄨˋ　ㄅㄨˋ　ㄒㄧㄚˊ　ㄐㄧˇ,
29,返老還童,年紀大，卻像年輕人一樣精力充沛,ㄈㄢˇ　ㄌㄠˇ　ㄏㄨㄢˊ　ㄊㄨㄥˊ,
30,分工合作,相互間保持密切的聯絡，共同完成事情,ㄈㄣ　ㄍㄨㄥ　ㄏㄜˊ　ㄗㄨㄛˋ,
31,方興未艾,比喻事態正在蓬勃發展,ㄈㄤ　ㄒㄧㄥ　ㄨㄟˋ　ㄞˋ,
32,風調雨順,形容豐年安樂，天下太平的景象,ㄈㄥ　ㄊㄧㄠˊ　ㄩˇ　ㄕㄨㄣˋ,
33,風雨交加,亦比喻多種災難同時發生,ㄈㄥ　ㄩˇ　ㄐㄧㄠ　ㄐㄧㄚ,
34,風雨無阻,比喻決心堅定,ㄈㄥ　ㄩˇ　ㄨˊ　ㄗㄨˇ,
